Record Date,State Name,Interest Rate Percent,Outstanding Advance Balance,Advance Authorization Current Month,Gross Advance Draws Current Month,Interest Accrued Fiscal Year to Date,Interest Paid Amount,Source Line Number,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
"2020-12-04","Colorado","2.40870090","606466890.52","500000000.00","16704485.06","0.00","0.00","2","2021","1","2020","4","12","04"
"2020-12-04","Delaware","2.40870090","32907572.03","40000000.00","0.00","0.00","0.00","4","2021","1","2020","4","12","04"
"2020-12-04","Kentucky","2.40870090","503030887.68","350000000.00","18468293.42","0.00","0.00","9","2021","1","2020","4","12","04"
"2020-12-04","Louisiana","2.40870090","133460334.29","100000000.00","0.00","0.00","0.00","10","2021","1","2020","4","12","04"
"2020-12-04","Minnesota","2.40870090","792864721.34","400000000.00","50481982.19","0.00","0.00","13","2021","1","2020","4","12","04"
"2020-12-04","Pennsylvania","2.40870090","675910156.89","700000000.00","32215347.12","0.00","0.00","18","2021","1","2020","4","12","04"
"2020-12-03","Maryland","2.40870090","0.00","100000000.00","0.00","0.00","0.00","11","2021","1","2020","4","12","03"
"2020-12-03","California","2.40870090","16457062175.84","4000000000.00","228000000.00","0.00","0.00","1","2021","1","2020","4","12","03"
"2020-12-03","Georgia","2.40870090","848899879.90","350000000.00","33900000.00","0.00","0.00","5","2021","1","2020","4","12","03"
"2020-12-03","Virginia","2.40870090","76729746.00","630000000.00","7175000.00","0.00","0.00","20","2021","1","2020","4","12","03"
"2020-12-03","New Jersey","2.40870090","551637213.77","600000000.00","28016000.00","0.00","0.00","14","2021","1","2020","4","12","03"
"2020-12-03","Texas","2.40870090","5631932970.38","1200000000.00","55444370.88","0.00","0.00","19","2021","1","2020","4","12","03"
"2020-12-03","Minnesota","2.40870090","787188377.36","400000000.00","44581982.19","0.00","0.00","13","2021","1","2020","4","12","03"
"2020-12-03","Indiana","2.40870090","99253816.81","120000000.00","5174936.49","0.00","0.00","8","2021","1","2020","4","12","03"
"2020-12-03","New York","2.40870090","8837160472.27","800000000.00","72309945.88","0.00","0.00","16","2021","1","2020","4","12","03"
"2020-12-03","Colorado","2.40870090","604921687.54","500000000.00","15159282.08","0.00","0.00","2","2021","1","2020","4","12","03"
"2020-12-03","Massachusetts","2.40870090","2046990513.60","720000000.00","12998376.66","0.00","0.00","12","2021","1","2020","4","12","03"
"2020-12-03","New Mexico","2.40870090","179165610.69","125000000.00","15253374.07","0.00","0.00","15","2021","1","2020","4","12","03"
"2020-12-03","Illinois","2.40870090","2959463429.74","973000000.00","91168578.92","0.00","0.00","7","2021","1","2020","4","12","03"
"2020-12-03","Hawaii","2.40870090","715088472.90","435000000.00","8998216.92","0.00","0.00","6","2021","1","2020","4","12","03"
"2020-12-03","Pennsylvania","2.40870090","671513717.54","700000000.00","27818907.77","0.00","0.00","18","2021","1","2020","4","12","03"
"2020-12-03","Ohio","2.40870090","1194773996.50","450000000.00","14545000.00","0.00","0.00","17","2021","1","2020","4","12","03"
"2020-12-03","Connecticut","2.40870090","419407645.50","250000000.00","13450000.00","0.00","0.00","3","2021","1","2020","4","12","03"
"2020-12-03","Louisiana","2.40870090","133460334.29","100000000.00","0.00","0.00","0.00","10","2021","1","2020","4","12","03"
"2020-12-03","West Virginia","2.40870090","114190719.75","125000000.00","0.00","0.00","0.00","22","2021","1","2020","4","12","03"
"2020-12-03","Delaware","2.40870090","32907572.03","40000000.00","0.00","0.00","0.00","4","2021","1","2020","4","12","03"
"2020-12-03","Kentucky","2.40870090","503030887.68","350000000.00","18468293.42","0.00","0.00","9","2021","1","2020","4","12","03"
"2020-12-03","Virgin Islands","2.40870090","81849297.52","6000000.00","674137.00","0.00","0.00","21","2021","1","2020","4","12","03"
"2020-12-02","Texas","2.40870090","5617062884.20","1200000000.00","40574284.70","0.00","0.00","19","2021","1","2020","4","12","02"
"2020-12-02","Pennsylvania","2.40870090","668487499.37","700000000.00","24792689.60","0.00","0.00","18","2021","1","2020","4","12","02"
"2020-12-02","Louisiana","2.40870090","133460334.29","100000000.00","0.00","0.00","0.00","10","2021","1","2020","4","12","02"
"2020-12-02","Ohio","2.40870090","1192492996.50","450000000.00","12264000.00","0.00","0.00","17","2021","1","2020","4","12","02"
"2020-12-02","New Mexico","2.40870090","177677073.77","125000000.00","13764837.15","0.00","0.00","15","2021","1","2020","4","12","02"
"2020-12-02","Indiana","2.40870090","99780665.99","120000000.00","5030012.86","0.00","0.00","8","2021","1","2020","4","12","02"
"2020-12-02","California","2.40870090","16506490036.75","4000000000.00","228000000.00","0.00","0.00","1","2021","1","2020","4","12","02"
"2020-12-02","West Virginia","2.40870090","114190719.75","125000000.00","0.00","0.00","0.00","22","2021","1","2020","4","12","02"
"2020-12-02","Illinois","2.40870090","2940893842.48","973000000.00","72598991.66","0.00","0.00","7","2021","1","2020","4","12","02"
"2020-12-02","Colorado","2.40870090","602690860.37","500000000.00","12928454.91","0.00","0.00","2","2021","1","2020","4","12","02"
"2020-12-02","Hawaii","2.40870090","713306967.76","435000000.00","7181408.92","0.00","0.00","6","2021","1","2020","4","12","02"
"2020-12-02","Virgin Islands","2.40870090","81675160.52","6000000.00","500000.00","0.00","0.00","21","2021","1","2020","4","12","02"
"2020-12-02","New York","2.40870090","8831501750.23","800000000.00","66651223.84","0.00","0.00","16","2021","1","2020","4","12","02"
"2020-12-02","Kentucky","2.40870090","503030887.68","350000000.00","18468293.42","0.00","0.00","9","2021","1","2020","4","12","02"
"2020-12-02","New Jersey","2.40870090","537813213.77","600000000.00","14192000.00","0.00","0.00","14","2021","1","2020","4","12","02"
"2020-12-02","Maryland","2.40870090","0.00","100000000.00","0.00","0.00","0.00","11","2021","1","2020","4","12","02"
"2020-12-02","Massachusetts","2.40870090","2043239099.37","720000000.00","9246962.43","0.00","0.00","12","2021","1","2020","4","12","02"
"2020-12-02","Delaware","2.40870090","32907572.03","40000000.00","0.00","0.00","0.00","4","2021","1","2020","4","12","02"
"2020-12-02","Virginia","2.40870090","75619746.00","130000000.00","6065000.00","0.00","0.00","20","2021","1","2020","4","12","02"
"2020-12-02","Connecticut","2.40870090","419407645.50","250000000.00","13450000.00","0.00","0.00","3","2021","1","2020","4","12","02"
"2020-12-02","Georgia","2.40870090","844099879.90","350000000.00","29100000.00","0.00","0.00","5","2021","1","2020","4","12","02"
"2020-12-02","Minnesota","2.40870090","781338377.36","400000000.00","38581982.19","0.00","0.00","13","2021","1","2020","4","12","02"
"2020-12-01","Kentucky","2.40870090","504061244.68","350000000.00","17076351.42","0.00","0.00","9","2021","1","2020","4","12","01"
"2020-12-01","Illinois","2.40870090","2913779971.46","973000000.00","45485120.64","0.00","0.00","7","2021","1","2020","4","12","01"
"2020-12-01","Virginia","2.40870090","69554746.00","130000000.00","0.00","0.00","0.00","20","2021","1","2020","4","12","01"
"2020-12-01","Indiana","2.40870090","97978112.43","120000000.00","2547948.18","0.00","0.00","8","2021","1","2020","4","12","01"
"2020-12-01","Ohio","2.40870090","1188645996.50","450000000.00","8417000.00","0.00","0.00","17","2021","1","2020","4","12","01"
"2020-12-01","New York","2.40870090","8819203377.98","800000000.00","54352851.59","0.00","0.00","16","2021","1","2020","4","12","01"
"2020-12-01","New Jersey","2.40870090","529675651.30","600000000.00","5566000.00","0.00","0.00","14","2021","1","2020","4","12","01"
"2020-12-01","Georgia","2.40870090","819499879.90","350000000.00","4500000.00","0.00","0.00","5","2021","1","2020","4","12","01"
"2020-12-01","Maryland","2.40870090","0.00","100000000.00","0.00","0.00","0.00","11","2021","1","2020","4","12","01"
"2020-12-01","Louisiana","2.40870090","133460334.29","100000000.00","0.00","0.00","0.00","10","2021","1","2020","4","12","01"
"2020-12-01","Delaware","2.40870090","32907572.03","40000000.00","0.00","0.00","0.00","4","2021","1","2020","4","12","01"
"2020-12-01","Virgin Islands","2.40870090","81675160.52","6000000.00","500000.00","0.00","0.00","21","2021","1","2020","4","12","01"
"2020-12-01","West Virginia","2.40870090","114190719.75","125000000.00","0.00","0.00","0.00","22","2021","1","2020","4","12","01"
"2020-12-01","Texas","2.40870090","5583860624.99","1200000000.00","7372025.49","0.00","0.00","19","2021","1","2020","4","12","01"
"2020-12-01","Connecticut","2.40870090","413007645.50","250000000.00","7050000.00","0.00","0.00","3","2021","1","2020","4","12","01"
"2020-12-01","Pennsylvania","2.40870090","659868420.86","700000000.00","16173611.09","0.00","0.00","18","2021","1","2020","4","12","01"
"2020-12-01","New Mexico","2.40870090","172261154.40","125000000.00","8348917.78","0.00","0.00","15","2021","1","2020","4","12","01"
"2020-12-01","Minnesota","2.40870090","769247016.13","400000000.00","22900000.00","0.00","0.00","13","2021","1","2020","4","12","01"
"2020-12-01","Massachusetts","2.40870090","2038113354.79","720000000.00","4121217.85","0.00","0.00","12","2021","1","2020","4","12","01"
"2020-12-01","California","2.40870090","16538967293.69","4000000000.00","228000000.00","0.00","0.00","1","2021","1","2020","4","12","01"
"2020-12-01","Hawaii","2.40870090","710978727.25","435000000.00","4703255.92","0.00","0.00","6","2021","1","2020","4","12","01"
"2020-12-01","Colorado","2.40870090","599559144.74","500000000.00","9796739.28","0.00","0.00","2","2021","1","2020","4","12","01"
"2020-11-30","California","2.40870090","16334914637.59","3500000000.00","1690000000.00","0.00","0.00","1","2021","1","2020","4","11","30"
"2020-11-30","Virgin Islands","2.40870090","81175160.52","6000000.00","2916587.00","0.00","0.00","21","2021","1","2020","4","11","30"
"2020-11-30","Georgia","2.40870090","814999879.90","325000000.00","134000000.00","0.00","0.00","5","2021","1","2020","4","11","30"
"2020-11-30","Indiana","2.40870090","97282849.04","120000000.00","68402268.27","0.00","0.00","8","2021","1","2020","4","11","30"
"2020-11-30","Virginia","2.40870090","69554746.00","160000000.00","2200000.00","0.00","0.00","20","2021","1","2020","4","11","30"
"2020-11-30","Texas","2.40870090","5576488599.50","1300000000.00","321887313.11","0.00","0.00","19","2021","1","2020","4","11","30"
"2020-11-30","Massachusetts","2.40870090","2033992136.94","792000000.00","108851262.47","0.00","0.00","12","2021","1","2020","4","11","30"
"2020-11-30","New Jersey","2.40870090","524261055.45","600000000.00","219303000.00","0.00","0.00","14","2021","1","2020","4","11","30"
"2020-11-30","Kentucky","2.40870090","486984893.26","350000000.00","26446246.00","0.00","0.00","9","2021","1","2020","4","11","30"
"2020-11-30","Louisiana","2.40870090","133460334.29","200000000.00","32209077.96","0.00","0.00","10","2021","1","2020","4","11","30"
"2020-11-30","Delaware","2.40870090","32907572.03","32000000.00","3739596.89","0.00","0.00","4","2021","1","2020","4","11","30"
"2020-11-30","Maryland","2.40870090","0.00","100000000.00","0.00","0.00","0.00","11","2021","1","2020","4","11","30"
"2020-11-30","Colorado","2.40870090","589762405.46","500000000.00","89553419.42","0.00","0.00","2","2021","1","2020","4","11","30"
"2020-11-30","Pennsylvania","2.40870090","643694809.77","300000000.00","77340867.42","0.00","0.00","18","2021","1","2020","4","11","30"
"2020-11-30","Minnesota","2.40870090","746522016.13","350000000.00","136144315.02","0.00","0.00","13","2021","1","2020","4","11","30"
"2020-11-30","Ohio","2.40870090","1180228996.50","400000000.00","50231000.00","0.00","0.00","17","2021","1","2020","4","11","30"
"2020-11-30","Connecticut","2.40870090","405957645.50","150000000.00","10823104.06","0.00","0.00","3","2021","1","2020","4","11","30"
"2020-11-30","Illinois","2.40870090","2868294850.82","889000000.00","250481946.05","0.00","0.00","7","2021","1","2020","4","11","30"
"2020-11-30","Hawaii","2.40870090","706275471.33","435000000.00","57098002.18","0.00","0.00","6","2021","1","2020","4","11","30"
"2020-11-30","New York","2.40870090","8764850526.39","1000000000.00","440532750.05","0.00","0.00","16","2021","1","2020","4","11","30"
"2020-11-30","West Virginia","2.40870090","114190719.75","125000000.00","2489704.01","0.00","0.00","22","2021","1","2020","4","11","30"
"2020-11-30","New Mexico","2.40870090","163912236.62","125000000.00","39843974.90","0.00","0.00","15","2021","1","2020","4","11","30"
"2020-11-27","Virgin Islands","2.40870090","81175160.52","6000000.00","2916587.00","0.00","0.00","21","2021","1","2020","4","11","27"
"2020-11-27","Massachusetts","2.40870090","2012018816.56","792000000.00","86877942.09","0.00","0.00","12","2021","1","2020","4","11","27"
"2020-11-27","Delaware","2.40870090","32907572.03","32000000.00","3739596.89","0.00","0.00","4","2021","1","2020","4","11","27"
"2020-11-27","West Virginia","2.40870090","114190719.75","125000000.00","2489704.01","0.00","0.00","22","2021","1","2020","4","11","27"
"2020-11-27","Texas","2.40870090","5557228988.17","1300000000.00","302627701.78","0.00","0.00","19","2021","1","2020","4","11","27"
"2020-11-27","Colorado","2.40870090","574921903.18","500000000.00","74712917.14","0.00","0.00","2","2021","1","2020","4","11","27"
"2020-11-27","Maryland","2.40870090","0.00","100000000.00","0.00","0.00","0.00","11","2021","1","2020","4","11","27"
"2020-11-27","Indiana","2.40870090","89908153.19","120000000.00","60426327.32","0.00","0.00","8","2021","1","2020","4","11","27"
"2020-11-27","Pennsylvania","2.40870090","617572170.44","300000000.00","51218228.09","0.00","0.00","18","2021","1","2020","4","11","27"
"2020-11-27","Kentucky","2.40870090","486984893.26","350000000.00","26446246.00","0.00","0.00","9","2021","1","2020","4","11","27"
"2020-11-27","Georgia","2.40870090","814999879.90","325000000.00","134000000.00","0.00","0.00","5","2021","1","2020","4","11","27"
"2020-11-27","New Jersey","2.40870090","504808746.95","600000000.00","199759000.00","0.00","0.00","14","2021","1","2020","4","11","27"
"2020-11-27","Hawaii","2.40870090","703025452.53","435000000.00","53847983.38","0.00","0.00","6","2021","1","2020","4","11","27"
"2020-11-27","California","2.40870090","16155202421.60","3500000000.00","1491000000.00","0.00","0.00","1","2021","1","2020","4","11","27"
"2020-11-27","Connecticut","2.40870090","405957645.50","150000000.00","10823104.06","0.00","0.00","3","2021","1","2020","4","11","27"
"2020-11-27","Virginia","2.40870090","69554746.00","160000000.00","2200000.00","0.00","0.00","20","2021","1","2020","4","11","27"
"2020-11-27","New York","2.40870090","8708582020.49","1000000000.00","384264244.15","0.00","0.00","16","2021","1","2020","4","11","27"
"2020-11-27","Ohio","2.40870090","1169375996.50","400000000.00","39378000.00","0.00","0.00","17","2021","1","2020","4","11","27"
"2020-11-27","Illinois","2.40870090","2852871344.01","889000000.00","235058439.24","0.00","0.00","7","2021","1","2020","4","11","27"
"2020-11-27","New Mexico","2.40870090","162339529.20","125000000.00","38271267.48","0.00","0.00","15","2021","1","2020","4","11","27"
"2020-11-27","Minnesota","2.40870090","742522016.13","350000000.00","132144315.02","0.00","0.00","13","2021","1","2020","4","11","27"
"2020-11-27","Louisiana","2.40870090","133460334.29","200000000.00","32209077.96","0.00","0.00","10","2021","1","2020","4","11","27"
"2020-11-26","Minnesota","2.40870090","738533104.50","350000000.00","128144315.02","0.00","0.00","13","2021","1","2020","4","11","26"
"2020-11-26","Connecticut","2.40870090","403894645.50","150000000.00","8760104.06","0.00","0.00","3","2021","1","2020","4","11","26"
"2020-11-26","Virgin Islands","2.40870090","81175160.52","6000000.00","2916587.00","0.00","0.00","21","2021","1","2020","4","11","26"
"2020-11-26","Pennsylvania","2.40870090","617572170.44","300000000.00","51218228.09","0.00","0.00","18","2021","1","2020","4","11","26"
"2020-11-26","Illinois","2.40870090","2852871344.01","889000000.00","235058439.24","0.00","0.00","7","2021","1","2020","4","11","26"
"2020-11-26","Texas","2.40870090","5534358558.18","1300000000.00","279757271.79","0.00","0.00","19","2021","1","2020","4","11","26"
"2020-11-26","Georgia","2.40870090","810499879.90","325000000.00","129500000.00","0.00","0.00","5","2021","1","2020","4","11","26"
"2020-11-26","Colorado","2.40870090","572646716.64","500000000.00","72437730.60","0.00","0.00","2","2021","1","2020","4","11","26"
"2020-11-26","Maryland","2.40870090","0.00","100000000.00","0.00","0.00","0.00","11","2021","1","2020","4","11","26"
"2020-11-26","Massachusetts","2.40870090","1978652715.47","792000000.00","53511841.00","0.00","0.00","12","2021","1","2020","4","11","26"
"2020-11-26","California","2.40870090","16155266378.13","3500000000.00","1491000000.00","0.00","0.00","1","2021","1","2020","4","11","26"
"2020-11-26","Ohio","2.40870090","1168105996.50","400000000.00","38108000.00","0.00","0.00","17","2021","1","2020","4","11","26"
"2020-11-26","Kentucky","2.40870090","486984893.26","350000000.00","26446246.00","0.00","0.00","9","2021","1","2020","4","11","26"
"2020-11-26","New Mexico","2.40870090","161206993.51","125000000.00","37138731.79","0.00","0.00","15","2021","1","2020","4","11","26"
"2020-11-26","New York","2.40870090","8696017507.44","1000000000.00","371584123.31","0.00","0.00","16","2021","1","2020","4","11","26"
"2020-11-26","New Jersey","2.40870090","485209746.95","600000000.00","180160000.00","0.00","0.00","14","2021","1","2020","4","11","26"
"2020-11-26","Louisiana","2.40870090","133460334.29","200000000.00","32209077.96","0.00","0.00","10","2021","1","2020","4","11","26"
"2020-11-26","Indiana","2.40870090","88017370.81","120000000.00","58509866.47","0.00","0.00","8","2021","1","2020","4","11","26"
"2020-11-26","Virginia","2.40870090","69554746.00","160000000.00","2200000.00","0.00","0.00","20","2021","1","2020","4","11","26"
"2020-11-26","West Virginia","2.40870090","114190719.75","125000000.00","2489704.01","0.00","0.00","22","2021","1","2020","4","11","26"
"2020-11-26","Hawaii","2.40870090","702827695.26","435000000.00","53650226.11","0.00","0.00","6","2021","1","2020","4","11","26"
"2020-11-26","Delaware","2.40870090","32907572.03","32000000.00","3739596.89","0.00","0.00","4","2021","1","2020","4","11","26"
"2020-11-24","Georgia","2.40870090","785499879.90","325000000.00","104500000.00","0.00","0.00","5","2021","1","2020","4","11","24"
"2020-11-24","Illinois","2.40870090","2828534143.09","889000000.00","210721238.32","0.00","0.00","7","2021","1","2020","4","11","24"
"2020-11-24","Ohio","2.40870090","1164426996.50","400000000.00","34429000.00","0.00","0.00","17","2021","1","2020","4","11","24"
"2020-11-24","Connecticut","2.40870090","402305886.47","150000000.00","7171345.03","0.00","0.00","3","2021","1","2020","4","11","24"
"2020-11-24","Kentucky","2.40870090","486984893.26","350000000.00","26446246.00","0.00","0.00","9","2021","1","2020","4","11","24"
"2020-11-24","New York","2.40870090","8681814052.97","1000000000.00","357380668.84","0.00","0.00","16","2021","1","2020","4","11","24"
"2020-11-24","Texas","2.40870090","5524839201.00","1300000000.00","270237914.61","0.00","0.00","19","2021","1","2020","4","11","24"
"2020-11-24","Virgin Islands","2.40870090","80920100.52","6000000.00","2661527.00","0.00","0.00","21","2021","1","2020","4","11","24"
"2020-11-24","Louisiana","2.40870090","133460334.29","200000000.00","32209077.96","0.00","0.00","10","2021","1","2020","4","11","24"
"2020-11-24","California","2.40870090","16174035786.64","3500000000.00","1491000000.00","0.00","0.00","1","2021","1","2020","4","11","24"
"2020-11-24","New Jersey","2.40870090","474482746.95","600000000.00","169398000.00","0.00","0.00","14","2021","1","2020","4","11","24"
"2020-11-24","Massachusetts","2.40870090","1974702181.14","792000000.00","49561306.67","0.00","0.00","12","2021","1","2020","4","11","24"
"2020-11-24","Delaware","2.40870090","32907572.03","32000000.00","3739596.89","0.00","0.00","4","2021","1","2020","4","11","24"
"2020-11-24","New Mexico","2.40870090","159728146.47","125000000.00","35659884.75","0.00","0.00","15","2021","1","2020","4","11","24"
"2020-11-24","Hawaii","2.40870090","700230471.26","435000000.00","51053002.11","0.00","0.00","6","2021","1","2020","4","11","24"
"2020-11-24","West Virginia","2.40870090","114190719.75","125000000.00","2489704.01","0.00","0.00","22","2021","1","2020","4","11","24"
"2020-11-24","Virginia","2.40870090","67354746.00","160000000.00","0.00","0.00","0.00","20","2021","1","2020","4","11","24"
"2020-11-24","Pennsylvania","2.40870090","617572170.44","300000000.00","51218228.09","0.00","0.00","18","2021","1","2020","4","11","24"
"2020-11-24","Indiana","2.40870090","86727585.95","120000000.00","56757900.65","0.00","0.00","8","2021","1","2020","4","11","24"
"2020-11-24","Maryland","2.40870090","0.00","100000000.00","0.00","0.00","0.00","11","2021","1","2020","4","11","24"
"2020-11-24","Minnesota","2.40870090","725933104.50","350000000.00","115544315.02","0.00","0.00","13","2021","1","2020","4","11","24"
"2020-11-24","Colorado","2.40870090","572646716.64","500000000.00","72437730.60","0.00","0.00","2","2021","1","2020","4","11","24"
"2020-11-23","Virginia","2.40870090","67354746.00","160000000.00","0.00","0.00","0.00","20","2021","1","2020","4","11","23"
"2020-11-23","Louisiana","2.40870090","133460334.29","200000000.00","32209077.96","0.00","0.00","10","2021","1","2020","4","11","23"
"2020-11-23","Illinois","2.40870090","2799205427.45","889000000.00","181392522.68","0.00","0.00","7","2021","1","2020","4","11","23"
"2020-11-23","Maryland","2.40870090","0.00","100000000.00","0.00","0.00","0.00","11","2021","1","2020","4","11","23"
"2020-11-23","Texas","2.40870090","5524839201.00","1300000000.00","270237914.61","0.00","0.00","19","2021","1","2020","4","11","23"
"2020-11-23","Indiana","2.40870090","85230975.34","120000000.00","54914944.38","0.00","0.00","8","2021","1","2020","4","11","23"
"2020-11-23","Hawaii","2.40870090","694243600.26","435000000.00","45066131.11","0.00","0.00","6","2021","1","2020","4","11","23"
"2020-11-23","New York","2.40870090","8651171073.50","1000000000.00","326737689.37","0.00","0.00","16","2021","1","2020","4","11","23"
"2020-11-23","West Virginia","2.40870090","114190719.75","125000000.00","2489704.01","0.00","0.00","22","2021","1","2020","4","11","23"
"2020-11-23","Ohio","2.40870090","1163356996.50","400000000.00","33359000.00","0.00","0.00","17","2021","1","2020","4","11","23"
"2020-11-23","California","2.40870090","16197712735.10","3500000000.00","1491000000.00","0.00","0.00","1","2021","1","2020","4","11","23"
"2020-11-23","Georgia","2.40870090","784999879.90","325000000.00","104000000.00","0.00","0.00","5","2021","1","2020","4","11","23"
"2020-11-23","Pennsylvania","2.40870090","617572170.44","300000000.00","51218228.09","0.00","0.00","18","2021","1","2020","4","11","23"
"2020-11-23","Delaware","2.40870090","32907572.03","32000000.00","3739596.89","0.00","0.00","4","2021","1","2020","4","11","23"
"2020-11-23","New Jersey","2.40870090","464388746.95","600000000.00","159304000.00","0.00","0.00","14","2021","1","2020","4","11","23"
"2020-11-23","Connecticut","2.40870090","402305886.47","150000000.00","7171345.03","0.00","0.00","3","2021","1","2020","4","11","23"
"2020-11-23","Colorado","2.40870090","572646716.64","500000000.00","72437730.60","0.00","0.00","2","2021","1","2020","4","11","23"
"2020-11-23","Kentucky","2.40870090","486984893.26","350000000.00","26446246.00","0.00","0.00","9","2021","1","2020","4","11","23"
"2020-11-23","New Mexico","2.40870090","153567340.73","125000000.00","29499079.01","0.00","0.00","15","2021","1","2020","4","11","23"
"2020-11-23","Massachusetts","2.40870090","1970518650.17","792000000.00","45377775.70","0.00","0.00","12","2021","1","2020","4","11","23"
"2020-11-23","Minnesota","2.40870090","714283104.50","350000000.00","103744315.02","0.00","0.00","13","2021","1","2020","4","11","23"
"2020-11-23","Virgin Islands","2.40870090","80920100.52","6000000.00","2661527.00","0.00","0.00","21","2021","1","2020","4","11","23"
"2020-11-20","Texas","2.40870090","5524839201.00","1300000000.00","270237914.61","0.00","0.00","19","2021","1","2020","4","11","20"
"2020-11-20","Hawaii","2.40870090","690565165.26","435000000.00","41387696.11","0.00","0.00","6","2021","1","2020","4","11","20"
"2020-11-20","Maryland","2.40870090","0.00","100000000.00","0.00","0.00","0.00","11","2021","1","2020","4","11","20"
"2020-11-20","Georgia","2.40870090","781999879.90","325000000.00","101000000.00","0.00","0.00","5","2021","1","2020","4","11","20"
"2020-11-20","Kentucky","2.40870090","486984893.26","350000000.00","26446246.00","0.00","0.00","9","2021","1","2020","4","11","20"
"2020-11-20","Colorado","2.40870090","572646716.64","500000000.00","72437730.60","0.00","0.00","2","2021","1","2020","4","11","20"
"2020-11-20","Minnesota","2.40870090","714475924.57","350000000.00","103744315.02","0.00","0.00","13","2021","1","2020","4","11","20"
"2020-11-20","Massachusetts","2.40870090","1962854648.58","792000000.00","37713774.11","0.00","0.00","12","2021","1","2020","4","11","20"
"2020-11-20","Connecticut","2.40870090","402305886.47","150000000.00","7171345.03","0.00","0.00","3","2021","1","2020","4","11","20"
"2020-11-20","Virginia","2.40870090","67354746.00","160000000.00","0.00","0.00","0.00","20","2021","1","2020","4","11","20"
"2020-11-20","New Mexico","2.40870090","151967843.42","125000000.00","27899581.70","0.00","0.00","15","2021","1","2020","4","11","20"
"2020-11-20","New Jersey","2.40870090","462006774.54","600000000.00","156665000.00","0.00","0.00","14","2021","1","2020","4","11","20"
"2020-11-20","California","2.40870090","16208696818.87","3500000000.00","1491000000.00","0.00","0.00","1","2021","1","2020","4","11","20"
"2020-11-20","Ohio","2.40870090","1145424996.50","400000000.00","15427000.00","0.00","0.00","17","2021","1","2020","4","11","20"
"2020-11-20","Virgin Islands","2.40870090","80920100.52","6000000.00","2661527.00","0.00","0.00","21","2021","1","2020","4","11","20"
"2020-11-20","Louisiana","2.40870090","133460334.29","200000000.00","32209077.96","0.00","0.00","10","2021","1","2020","4","11","20"
"2020-11-20","Delaware","2.40870090","32907572.03","32000000.00","3739596.89","0.00","0.00","4","2021","1","2020","4","11","20"
"2020-11-20","Illinois","2.40870090","2794651851.72","889000000.00","176838946.95","0.00","0.00","7","2021","1","2020","4","11","20"
"2020-11-20","New York","2.40870090","8594866656.01","1000000000.00","270307699.76","0.00","0.00","16","2021","1","2020","4","11","20"
"2020-11-20","West Virginia","2.40870090","114190719.75","125000000.00","2489704.01","0.00","0.00","22","2021","1","2020","4","11","20"
"2020-11-20","Indiana","2.40870090","78703515.82","120000000.00","48072452.33","0.00","0.00","8","2021","1","2020","4","11","20"
